text,intent,domain,intent_name,domain_name
how much is an overdraft fee for bank,150,10,oos,oos
why are exponents preformed before multiplication in the order of operations,150,10,oos,oos
what size wipers does this car take,150,10,oos,oos
where is the dipstick,150,10,oos,oos
how much is 1 share of aapl,150,10,oos,oos
how is glue made,150,10,oos,oos
any headlines from my area,150,10,oos,oos
what is the largest state in the us,150,10,oos,oos
what is the current market trend,150,10,oos,oos
what is the most popular airline,150,10,oos,oos
what is the formula for the circumference of a circle,150,10,oos,oos
what are some ways to reduce spending,150,10,oos,oos
what time does the louvre open,150,10,oos,oos
are there any local stations covering the moral march in raleigh in februaryu,150,10,oos,oos
how many planets have we discovered,150,10,oos,oos
how do i change my billing address,150,10,oos,oos
how do i open an online line of credit,150,10,oos,oos
how do i remove a coffee blemish,150,10,oos,oos
how expensive is an apple share,150,10,oos,oos
where can i find the cruise control on my kia sportage 2010,150,10,oos,oos
how many sides are in a hexagon,150,10,oos,oos
how fast does an airplane travel,150,10,oos,oos
is it worth investing in target,150,10,oos,oos
i need to speak to customer service regarding my flight,150,10,oos,oos
how long do wire transfers take,150,10,oos,oos
what are some deals on amazon,150,10,oos,oos
what city is the super bowl,150,10,oos,oos
what trees change color in autumn,150,10,oos,oos
do people prefer summer over fall,150,10,oos,oos
how long is winter,150,10,oos,oos
what were some of ben franklin 's notable accomplishments,150,10,oos,oos
where was john denver born,150,10,oos,oos
where did abraham lincoln live,150,10,oos,oos
when was kobe bryant born,150,10,oos,oos
who 's toledo 's starting point guard for the next game,150,10,oos,oos
how many players are on the chicago bulls,150,10,oos,oos
who is the coach of the chicago bulls,150,10,oos,oos
when do the utah jazz play next,150,10,oos,oos
what other nations were involved in the chinese trade war,150,10,oos,oos
what years has korea been at war,150,10,oos,oos
when was the theory of evolution first considered,150,10,oos,oos
who formulated the theory of relativity,150,10,oos,oos
what stage of evolution am i,150,10,oos,oos
what other personality type is most compatible with infjs,150,10,oos,oos
what does my personality mean,150,10,oos,oos
what 's the most dominant scale in bluegrass,150,10,oos,oos
what year was saxaphone first played,150,10,oos,oos
which piano is best for classical,150,10,oos,oos
is k 12 education required outside of the united states,150,10,oos,oos
what are the benefits of completing college,150,10,oos,oos
are you able to answer algebra equations,150,10,oos,oos
can you help me study for a history exam,150,10,oos,oos
how many points per game is lebron james averaging this season,150,10,oos,oos
what team does eli mannign play for,150,10,oos,oos
get me dwight howard shooting average,150,10,oos,oos
can you list me tiger wood 's stats,150,10,oos,oos
what 's the runtime of all the lord of the rings movies combined,150,10,oos,oos
which character is the most famous from titanic,150,10,oos,oos
how many oscars did star wars films win,150,10,oos,oos
what year was shawshank redemption released,150,10,oos,oos
which marvel character has appeared in the most movies,150,10,oos,oos
when 's the next movie starring thor set to come out,150,10,oos,oos
who was the first capcom character,150,10,oos,oos
are any justice league movies coming out,150,10,oos,oos
can you tell me something about the nfl,150,10,oos,oos
please explain the catch rule to me,150,10,oos,oos
is there overtime in college football,150,10,oos,oos
when did the mls start,150,10,oos,oos
what 's the best price on super smash bros ultimate right now,150,10,oos,oos
what is the highest earning game on atari,150,10,oos,oos
when is the next nintendo direct,150,10,oos,oos
when was nintendo created,150,10,oos,oos
please find the capital of pakistan and its population,150,10,oos,oos
how many people live in taiwan,150,10,oos,oos
what are some of picasso 's most famous works,150,10,oos,oos
what are van gogh 's best pieces,150,10,oos,oos
where can i see art,150,10,oos,oos
when did camus die,150,10,oos,oos
how much money does radiohead earn a year,150,10,oos,oos
who is radiohead,150,10,oos,oos
what 's the biggest saas marketing company in the united states,150,10,oos,oos
how do i start my own marketing firm,150,10,oos,oos
how can i get involved in restaurant marketing,150,10,oos,oos
what is saas marketing,150,10,oos,oos
what do you call someone who was born in segovia,150,10,oos,oos
what is rhineland,150,10,oos,oos
who is the scariest character in start trek,150,10,oos,oos
who is the current captain of this ship,150,10,oos,oos
what year was star trek released,150,10,oos,oos
when was toyota created,150,10,oos,oos
who are some notable alumni of ucsd,150,10,oos,oos
what is the next football game,150,10,oos,oos
how many students attend ucsb,150,10,oos,oos
when do classes start,150,10,oos,oos
how can i become an aerospace engineer,150,10,oos,oos
what percentage of species display cold blooded traits,150,10,oos,oos
what does it mean to be an alpha male,150,10,oos,oos
what animals have alpha males,150,10,oos,oos
why do males want to be alpha,150,10,oos,oos
what 's the average battery life of an android phone,150,10,oos,oos
