text,intent,domain,intent_name,domain_name
what expression would i use to say i love you if i were an italian,84,5,translate,travel
"can you tell me how to say 'i do not speak much spanish' , in spanish",84,5,translate,travel
"what is the equivalent of , 'life is good' in french",84,5,translate,travel
"tell me how to say , 'it is a beautiful morning' in italian",84,5,translate,travel
"if i were mongolian , how would i say that i am a tourist",84,5,translate,travel
how do i say 'hotel' in finnish,84,5,translate,travel
"i need you to translate the sentence , 'we will be there soon' into portuguese",84,5,translate,travel
please tell me how to ask for a taxi in french,84,5,translate,travel
"can you tell me how i would say , 'more bread please' in french",84,5,translate,travel
what is the correct way to say 'i am a visitor' in french,84,5,translate,travel
"how would i say , 'i do n't know the answer' in spanish",84,5,translate,travel
i would like to know the proper way to greet an adult in portuguese,84,5,translate,travel
what words would i use to tell someone i am lost if i were japanese,84,5,translate,travel
how would i say thank you if i were russian,84,5,translate,travel
can you tell me how i would normally say thank you as a french person,84,5,translate,travel
i would like to know how to say hello in french,84,5,translate,travel
if i were english how would i say subway,84,5,translate,travel
i would i say subway if i were english,84,5,translate,travel
how do you say hi in french,84,5,translate,travel
in england how do they say subway,84,5,translate,travel
translate hello in french,84,5,translate,travel
how is hello said in french,84,5,translate,travel
what do you call a subway if you were english,84,5,translate,travel
how would i say if i were english subway,84,5,translate,travel
how should i say hello in french,84,5,translate,travel
how could i say twin in chinese,84,5,translate,travel
how can i say not now in spanish,84,5,translate,travel
what do spanish people say for the word cow,84,5,translate,travel
translate hello to english,84,5,translate,travel
how do you say goodbye in spanish,84,5,translate,travel
how would i say love in french,84,5,translate,travel
could you translate atm machine into english,84,5,translate,travel
please translate grocery into french for me,84,5,translate,travel
how do germans say goodnight,84,5,translate,travel
tell me how the russians say notebook,84,5,translate,travel
how do vietnameses people say hello,84,5,translate,travel
how do i say thank you in japanese,84,5,translate,travel
what is latin for i love you,84,5,translate,travel
how can i thank somebody in italian,84,5,translate,travel
how do i say you 're welcome in chinese,84,5,translate,travel
translate hello english to french,84,5,translate,travel
what is hello in french,84,5,translate,travel
what phrase means goodbye in hawaii,84,5,translate,travel
what spanish word means hello,84,5,translate,travel
translate hello to french,84,5,translate,travel
translate english to french hello,84,5,translate,travel
what is the word for hello spanish,84,5,translate,travel
how do they say goodbye in hawaii,84,5,translate,travel
what 's local slang for goodbye in hawaii,84,5,translate,travel
how do you say hello in french,84,5,translate,travel
tell me how to say hello in spanish,84,5,translate,travel
what do i say for goodbye in hawaii,84,5,translate,travel
translate hello into french for me,84,5,translate,travel
how do i say hello in french,84,5,translate,travel
translate for me hello into french,84,5,translate,travel
how would they say say goodbye in hawaii,84,5,translate,travel
what is spanish for hello,84,5,translate,travel
how would i say hello in french,84,5,translate,travel
how can i say i love you in italy,84,5,translate,travel
what is spanish for good morning,84,5,translate,travel
how do you say it 's snowing in german,84,5,translate,travel
how would you say can i borrow five dollars in portuguese,84,5,translate,travel
do you know how to say where is the restroom in french,84,5,translate,travel
how would i say pleased to meet you if i were japanese,84,5,translate,travel
can you translate hello into swedish for me,84,5,translate,travel
can you translate i love you into french for me,84,5,translate,travel
can you translate where 's the bar into irish for me,84,5,translate,travel
how would i say goodbye if i were norwegian,84,5,translate,travel
how would i say i love you if i were french,84,5,translate,travel
how would i say hello if i were swedish,84,5,translate,travel
can you translate good bye into russian for me,84,5,translate,travel
can you translate i have to go pee into korean for me,84,5,translate,travel
how would i say i'm not guilty if i were mexican,84,5,translate,travel
how do you say thank you in spanish,84,5,translate,travel
how does one say thank you in spanish,84,5,translate,travel
how can i say thank you in spanish,84,5,translate,travel
what is thank you in spanish,84,5,translate,travel
what is the way to say thank you in spanish,84,5,translate,travel
how do they say who is your father in german,84,5,translate,travel
how do they say where 's the bathroom in spanish,84,5,translate,travel
how do they say how 's it going in swahili,84,5,translate,travel
how do they say i love you in japanese,84,5,translate,travel
how do they say what 's up in chinese,84,5,translate,travel
how do you say thank you in german,84,5,translate,travel
how do you say please in arabic,84,5,translate,travel
how do you say cat in spanish,84,5,translate,travel
how do you say i'm hungry in french,84,5,translate,travel
how do you say i need coffee in dutch,84,5,translate,travel
